,predicted dendrite,real dendrite,ephys predicted creline,ephys me-type predictions,ephys m-type predictions,ephys e-type predictions,specimen_id,morph me-type predictions,morph m-type predictions,morph e-type predictions,ephys and morph me-type predictions,ephys and morph m-type predictions,ephys and morph e-type predictions
36,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,528638602,,,,,,
37,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,545188095,,,,,,
38,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,548473051,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_11
39,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,643584386,,,,,,
40,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,548416317,,,,,,
41,aspiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,539640827,,,,,,
42,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,541551240,,,,,,
43,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,528657972,,,,,,
44,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,529908238,,,,,,
45,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,526816192,,,,,,
46,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Exc_1,531526662,,,,,,
47,spiny,aspiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,545604343,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
48,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,548408551,ME_Exc_13,Spiny_14,Inh_6,ME_Exc_13,Spiny_14,Inh_2
49,spiny,spiny,Chrna2-Cre_OE25,ME_Exc_7,Spiny_1,Inh_6,571624532,ME_Exc_13,Spiny_14,Exc_3,ME_Exc_13,Spiny_11,Inh_11
